 longlgCND_S23_L2_C1  |         cndUpstream  |Central Neutron Detector, S 23, L 2, C 1  |                             0*cm 0*cm -85.7215*cm  |                  0*deg 0*deg -247.5*deg  | cccccc   |       G4GenericTrap  |41.85*cm 2.025*cm 96.32*cm 2.025*cm 99.32*cm 6.41927687320156*cm 99.32*cm 6.02431938043938*cm 96.32*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 2 component manual 1 
     lgCND_S23_L2_C2  |         cndUpstream  |Central Neutron Detector, S 23, L 2, C 2  |                              0*cm 0*cm -39.915*cm  |                  0*deg 0*deg -247.5*deg  | cccccc   |       G4GenericTrap  |3.7905*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |           G4_LUCITE  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 2 component manual 2 
 longlgCND_S23_L2_C2  |         cndUpstream  |Central Neutron Detector, S 23, L 2, C 2  |                             0*cm 0*cm -85.7215*cm  |                  0*deg 0*deg -247.5*deg  | cccccc   |       G4GenericTrap  |41.85*cm -6.02431938043938*cm 96.32*cm -6.41927687320156*cm 99.32*cm -2.025*cm 99.32*cm -2.025*cm 96.32*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 2 component manual 2 
     lgCND_S23_L3_C1  |         cndUpstream  |Central Neutron Detector, S 23, L 3, C 1  |                              0*cm 0*cm -39.128*cm  |                  0*deg 0*deg -247.5*deg  | aaaaaa   |       G4GenericTrap  |3.0035*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 3 component manual 1 
 longlgCND_S23_L3_C1  |         cndUpstream  |Central Neutron Detector, S 23, L 3, C 1  |                             0*cm 0*cm -82.5065*cm  |                  0*deg 0*deg -247.5*deg  | aaaaaa   |       G4GenericTrap  |40.215*cm 2.025*cm 102.69*cm 2.025*cm 105.69*cm 6.82739961572249*cm 105.69*cm 6.4324421229603*cm 102.69*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 3 component manual 1 
     lgCND_S23_L3_C2  |         cndUpstream  |Central Neutron Detector, S 23, L 3, C 2  |                              0*cm 0*cm -39.128*cm  |                  0*deg 0*deg -247.5*deg  | aaaaaa   |       G4GenericTrap  |3.0035*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |           G4_LUCITE  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 3 component manual 2 
 longlgCND_S23_L3_C2  |         cndUpstream  |Central Neutron Detector, S 23, L 3, C 2  |                             0*cm 0*cm -82.5065*cm  |                  0*deg 0*deg -247.5*deg  | aaaaaa   |       G4GenericTrap  |40.215*cm -6.4324421229603*cm 102.69*cm -6.82739961572249*cm 105.69*cm -2.025*cm 105.69*cm -2.025*cm 102.69*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    23   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 23 layer manual 3 component manual 2 
     lgCND_S24_L1_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 1, C 1  |                              0*cm 0*cm -40.699*cm  |                  0*deg 0*deg -262.5*deg  | eeeeee   |       G4GenericTrap  |4.5765*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 1 component manual 1 
 longlgCND_S24_L1_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 1, C 1  |                             0*cm 0*cm -88.8665*cm  |                  0*deg 0*deg -262.5*deg  | eeeeee   |       G4GenericTrap  |43.415*cm 2.025*cm 89.8*cm 2.025*cm 92.8*cm 6.01115413068064*cm 92.8*cm 5.61619663791845*cm 89.8*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 1 component manual 1 
     lgCND_S24_L1_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 1, C 2  |                              0*cm 0*cm -40.699*cm  |                  0*deg 0*deg -262.5*deg  | eeeeee   |       G4GenericTrap  |4.5765*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |           G4_LUCITE  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 1 component manual 2 
 longlgCND_S24_L1_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 1, C 2  |                             0*cm 0*cm -88.8665*cm  |                  0*deg 0*deg -262.5*deg  | eeeeee   |       G4GenericTrap  |43.415*cm -5.61619663791845*cm 89.8*cm -6.01115413068064*cm 92.8*cm -2.025*cm 92.8*cm -2.025*cm 89.8*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 1 component manual 2 
     lgCND_S24_L2_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 2, C 1  |                              0*cm 0*cm -39.915*cm  |                  0*deg 0*deg -262.5*deg  | cccccc   |       G4GenericTrap  |3.7905*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 2 component manual 1 
 longlgCND_S24_L2_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 2, C 1  |                             0*cm 0*cm -85.7215*cm  |                  0*deg 0*deg -262.5*deg  | cccccc   |       G4GenericTrap  |41.85*cm 2.025*cm 96.32*cm 2.025*cm 99.32*cm 6.41927687320156*cm 99.32*cm 6.02431938043938*cm 96.32*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 2 component manual 1 
     lgCND_S24_L2_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 2, C 2  |                              0*cm 0*cm -39.915*cm  |                  0*deg 0*deg -262.5*deg  | cccccc   |       G4GenericTrap  |3.7905*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |           G4_LUCITE  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 2 component manual 2 
 longlgCND_S24_L2_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 2, C 2  |                             0*cm 0*cm -85.7215*cm  |                  0*deg 0*deg -262.5*deg  | cccccc   |       G4GenericTrap  |41.85*cm -6.02431938043938*cm 96.32*cm -6.41927687320156*cm 99.32*cm -2.025*cm 99.32*cm -2.025*cm 96.32*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 2 component manual 2 
     lgCND_S24_L3_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 3, C 1  |                              0*cm 0*cm -39.128*cm  |                  0*deg 0*deg -262.5*deg  | aaaaaa   |       G4GenericTrap  |3.0035*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 3 component manual 1 
 longlgCND_S24_L3_C1  |         cndUpstream  |Central Neutron Detector, S 24, L 3, C 1  |                             0*cm 0*cm -82.5065*cm  |                  0*deg 0*deg -262.5*deg  | aaaaaa   |       G4GenericTrap  |40.215*cm 2.025*cm 102.69*cm 2.025*cm 105.69*cm 6.82739961572249*cm 105.69*cm 6.4324421229603*cm 102.69*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 3 component manual 1 
     lgCND_S24_L3_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 3, C 2  |                              0*cm 0*cm -39.128*cm  |                  0*deg 0*deg -262.5*deg  | aaaaaa   |       G4GenericTrap  |3.0035*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |           G4_LUCITE  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 3 component manual 2 
 longlgCND_S24_L3_C2  |         cndUpstream  |Central Neutron Detector, S 24, L 3, C 2  |                             0*cm 0*cm -82.5065*cm  |                  0*deg 0*deg -262.5*deg  | aaaaaa   |       G4GenericTrap  |40.215*cm -6.4324421229603*cm 102.69*cm -6.82739961572249*cm 105.69*cm -2.025*cm 105.69*cm -2.025*cm 102.69*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    24   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 24 layer manual 3 component manual 2 
